Country,Value
Switzerland,0.018
Norway,0.016
Iceland,0.043
Australia,0.073
Denmark,0.013
Sweden,0.023
Ireland,0.074
Germany,0.073
Netherlands,0.025
Finland,0.033
Singapore,0.040
Belgium,0.048
New Zealand,0.088
Canada,0.069
Liechtenstein,..
Luxembourg,0.044
United Kingdom,0.098
Japan,0.083
South Korea,0.067
United States of America,0.179
Israel,0.083
Malta,0.167
Slovenia,0.071
Austria,0.053
United Arab Emirates,0.049
Spain,0.057
France,0.083
Cyprus,0.123
Italy,0.056
Estonia,0.100
Czechia,0.120
Greece,0.119
Poland,0.109
Bahrain,0.181
Lithuania,0.105
Saudi Arabia,0.247
Portugal,0.067
Latvia,0.151
Croatia,0.093
Chile,0.187
Qatar,0.220
Slovakia,0.180
Hungary,0.221
Argentina,0.287
Turkey,0.272
Montenegro,0.119
Kuwait,0.305
Brunei Darussalam,0.259
Russia,0.203
Romania,0.282
Oman,0.300
Bahamas,0.329
Kazakhstan,0.161
Trinidad and Tobago,0.344
Costa Rica,0.256
Uruguay,0.235
Belarus,0.104
Panama,0.392
Malaysia,0.228
Georgia,0.280
Mauritius,0.347
Serbia,0.131
Thailand,0.333
Albania,0.144
Bulgaria,0.210
Barbados,0.268
Sri Lanka,0.383
Bosnia and Herzegovina,0.136
Iran,0.459
Ukraine,0.200
North Macedonia,0.134
China,0.192
Dominican Republic,0.429
Moldova,0.205
Palau,..
Cuba,0.303
Peru,0.380
Armenia,0.216
Mexico,0.309
Brazil,0.390
Colombia,0.424
Saint Vincent and the Grenadines,0.390
Maldives,0.348
Algeria,0.499
Azerbaijan,0.294
Tonga,0.631
Turkmenistan,0.177
Ecuador,0.362
Mongolia,0.313
Egypt,0.443
Tunisia,0.259
Fiji,0.318
Suriname,0.427
Uzbekistan,0.227
Jordan,0.471
Libya,0.259
Paraguay,0.445
State of Palestine,..
Saint Lucia,0.381
Guyana,0.454
South Africa,0.405
Jamaica,0.335
Samoa,0.418
Gabon,0.541
Lebanon,0.432
Indonesia,0.444
Vietnam,0.296
Philippines,0.419
Botswana,0.468
Bolivia,0.418
Kyrgyzstan,0.370
Venezuela,0.492
Iraq,0.558
Tajikistan,0.285
Belize,0.364
Morocco,0.425
El Salvador,0.376
Nicaragua,0.424
Bhutan,0.415
Cabo Verde,0.349
Bangladesh,0.530
Tuvalu,..
Marshall Islands,..
India,0.490
Ghana,0.529
Micronesia,..
Guatemala,0.481
Kiribati,..
Honduras,0.431
Sao Tome and Principe,0.494
Namibia,0.445
Laos,0.478
Timor-Leste,0.378
Vanuatu,..
Nepal,0.452
Eswatini,0.540
Equatorial Guinea,..
Cambodia,0.461
Zimbabwe,0.532
Angola,0.537
Myanmar,0.498
Syria,0.477
Cameroon,0.565
Kenya,0.506
Congo,0.564
Zambia,0.540
Solomon Islands,..
Comoros,..
Papua New Guinea,0.725
Mauritania,0.632
Côte d'Ivoire,0.613
Tanzania,0.560
Pakistan,0.534
Togo,0.580
Haiti,0.635
Nigeria,0.680
Rwanda,0.388
Benin,0.602
Uganda,0.530
Lesotho,0.557
Malawi,0.554
Senegal,0.530
Djibouti,..
Sudan,0.553
Madagascar,0.556
Gambia,0.611
Ethiopia,0.520
Eritrea,..
Guinea-Bissau,0.627
Liberia,0.648
Dem. Rep. Congo,0.601
Afghanistan,0.678
Sierra Leone,0.633
Guinea,0.621
Yemen,0.820
Burkina Faso,0.621
Mozambique,0.537
Mali,0.613
Burundi,0.505
Central African Rep.,0.672
Niger,0.611
Chad,0.652
S. Sudan,0.587
North Korea,..
Monaco,..
Nauru,..
Somalia,..